4.0,15.6,128.0,1910.0,1,368.0,laptop
3.0,5.5,32.0,158.5,2,179.0,smartphone
16.0,15.6,512.0,2000.0,3,2993.0,laptop
4.85,7.0,131.61,1016.32,4,49.9,tablet
8.0,17.3,256.0,3000.0,5,897.9,laptop
1.0,7.0,8.0,310.0,6,78.0,tablet
4.85,7.0,8.0,516.0,7,43.9,tablet
4.0,5.2,64.0,163.4,8,247.0,smartphone
16.0,12.0,1000.0,2800.0,9,434.5,console
8.0,14.0,256.0,1590.0,10,799.0,laptop
1.0,10.1,8.0,557.0,11,72.5,tablet
4.0,13.3,131.61,1490.0,1,749.0,laptop
4.0,15.6,131.61,2100.0,5,378.0,laptop
4.0,14.0,64.0,1650.0,2,254.0,laptop
3.0,5.5,32.0,158.5,12,167.2,smartphone
6.0,6.0,64.0,164.0,13,746.0,smartphone
2.0,5.0,16.0,150.5,14,149.98,smartphone
8.0,15.6,256.0,2650.0,3,1199.0,laptop
4.85,1.8,131.61,1016.32,15,17.15,smartphone
4.85,7.0,8.0,263.0,7,43.9,tablet
1.0,7.0,8.0,300.0,10,130.0,tablet
8.0,15.6,131.61,2140.0,3,559.0,laptop
8.0,15.6,256.0,2260.0,1,1890.0,laptop
8.0,12.3,128.0,1100.0,16,1249.0,laptop
16.0,15.6,512.0,2530.0,3,1394.04,laptop
1.0,5.0,8.0,146.25,12,120.0,smartphone
4.0,11.69,1000.0,2900.0,17,260.0,console
4.0,13.3,256.0,1400.0,3,826.0,laptop
1.0,8.0,8.0,380.0,18,88.9,tablet
3.0,5.5,256.0,196.0,19,748.59,smartphone
1.0,7.0,8.0,369.0,10,120.0,tablet
8.0,15.6,256.0,2000.0,3,2063.0,laptop
8.0,15.6,256.0,2140.0,3,689.0,laptop
8.0,12.5,256.0,1270.0,3,1368.0,tablet
2.0,9.7,32.0,478.0,19,425.03,tablet
4.0,13.3,256.0,1320.0,1,849.0,laptop
4.0,6.01,64.0,165.02,8,230.0,smartphone
4.0,11.3,1000.0,2100.0,9,360.0,console
1.0,10.1,8.0,533.0,7,85.0,tablet
2.0,5.2,16.0,155.6,20,128.5,smartphone
4.85,7.0,8.0,516.0,7,43.9,tablet
3.0,5.5,32.0,158.5,20,280.0,smartphone
1.5,8.0,16.0,393.0,20,382.0,tablet
4.85,1.8,131.61,1016.32,21,23.9,smartphone
1.0,8.0,16.0,348.0,22,109.0,tablet
1.0,7.0,8.0,300.0,10,130.0,tablet
4.85,2.0,131.61,1016.32,23,32.89,smartphone
8.0,12.5,512.0,1130.0,10,1848.0,laptop
4.85,1.8,131.61,1016.32,24,19.9,smartphone
1.0,7.0,8.0,330.0,22,83.0,tablet
6.0,5.5,128.0,174.0,13,730.0,smartphone
3.0,5.5,32.0,158.5,25,249.0,smartphone
8.0,17.3,131.61,2700.0,26,979.0,laptop
8.0,17.3,131.61,3140.0,1,1855.0,laptop
8.0,12.0,256.0,754.0,20,1669.0,tablet
1.0,5.0,16.0,147.5,27,109.0,smartphone
4.85,1.77,131.61,1016.32,8,23.93,smartphone
8.0,15.6,256.0,2100.0,10,559.0,laptop
1.0,8.0,8.0,339.0,28,102.9,tablet
4.0,17.3,131.61,3000.0,5,669.0,laptop
4.85,1.8,131.61,1016.32,15,18.0,smartphone
4.0,13.3,256.0,1400.0,3,739.0,laptop
4.0,10.5,256.0,477.0,19,1055.0,tablet
1.0,7.0,8.0,310.0,6,78.0,tablet
3.0,8.0,32.0,310.0,29,291.0,tablet
2.0,8.0,16.0,364.0,20,222.0,tablet
4.85,1.77,131.61,1016.32,30,29.0,smartphone
8.0,6.41,256.0,207.28,31,715.95,smartphone
8.0,15.6,256.0,2191.0,3,999.0,laptop
1.0,4.0,8.0,149.0,22,69.9,smartphone
1.0,8.0,8.0,380.0,18,88.9,tablet
4.0,10.8,32.0,498.0,29,449.0,tablet
1.0,5.5,16.0,155.75,32,100.0,smartphone
1.0,8.0,16.0,348.0,22,109.0,tablet
8.0,15.6,256.0,2530.0,3,1093.0,laptop
3.0,5.2,32.0,157.2,29,229.0,smartphone
1.0,8.0,8.0,330.0,11,74.89,tablet
4.85,7.0,8.0,264.0,6,51.64,tablet
6.0,5.5,128.0,174.0,21,534.95,smartphone
1.0,7.0,8.0,300.0,10,130.0,tablet
1.0,10.1,8.0,550.0,18,129.0,tablet
2.0,10.1,16.0,535.0,33,113.0,tablet
4.0,15.6,131.61,2250.0,3,498.99,laptop
2.0,10.1,16.0,509.0,10,185.9,tablet
4.85,7.0,8.0,289.0,11,60.0,tablet
2.0,5.0,16.0,155.5,29,143.84,smartphone
8.0,14.0,256.0,1400.0,2,842.0,laptop
4.0,5.6,32.0,161.6,20,249.0,smartphone
4.85,1.8,131.61,1016.32,15,19.8,smartphone
3.0,4.7,32.0,157.7,34,462.59,smartphone
3.0,5.5,32.0,158.5,35,175.0,smartphone
1.0,8.0,8.0,315.0,22,89.99,tablet
4.0,6.3,64.0,176.6,20,480.0,smartphone
4.0,5.8,64.0,163.6,20,481.0,smartphone
1.0,7.0,8.0,300.0,10,130.0,tablet
8.0,15.6,131.61,2100.0,1,776.0,laptop
1.0,7.0,8.0,330.0,22,83.0,tablet
8.0,15.6,256.0,2560.0,3,929.0,laptop
6.0,5.5,64.0,163.0,2,325.0,smartphone
16.0,17.3,131.61,2950.0,2,1682.0,laptop
1.0,7.0,8.0,360.0,7,79.3,tablet
2.0,5.0,16.0,150.5,10,99.99,smartphone
1.0,7.0,8.0,300.0,10,130.0,tablet
2.0,11.3,1000.0,2100.0,9,353.0,console
3.0,6.1,64.0,164.2,19,839.8,smartphone
2.0,5.3,16.0,150.65,36,85.0,smartphone
8.0,15.6,131.61,3200.0,10,1426.0,laptop
4.85,1.77,131.61,1016.32,37,47.6,smartphone
4.0,6.0,64.0,164.0,38,369.0,smartphone
8.0,12.5,256.0,1250.0,39,1059.0,laptop
2.0,10.1,16.0,525.0,20,207.0,tablet
4.85,7.0,131.61,1016.32,4,49.9,tablet
3.0,10.1,32.0,460.0,29,319.0,tablet
1.0,14.0,16.0,1112.0,40,259.0,tablet
8.0,15.6,256.0,2500.0,5,888.0,laptop
16.0,15.6,131.61,2610.0,3,1749.0,laptop
4.85,7.0,131.61,1016.32,4,49.9,tablet
1.0,8.0,16.0,348.0,22,109.0,tablet
8.0,14.0,256.0,1930.0,10,1163.0,laptop
4.0,15.6,256.0,2200.0,3,699.0,laptop
8.0,13.3,512.0,1370.0,19,1726.5,laptop
4.0,14.0,128.0,1440.0,10,344.0,laptop
4.0,6.18,64.0,172.36,32,164.15,smartphone
16.0,15.6,512.0,2100.0,1,1125.0,laptop
1.0,2.8,8.0,148.7,22,90.93,smartphone
2.0,9.7,32.0,437.0,19,649.31,tablet
4.0,5.5,64.0,170.0,9,361.62,smartphone
1.5,8.0,16.0,393.0,20,382.0,tablet
4.85,11.0,256.0,468.0,19,1328.9,tablet
6.0,5.99,128.0,175.96,25,234.95,smartphone
2.0,5.0,16.0,155.5,18,83.9,smartphone
16.0,17.3,131.61,4560.0,26,3059.0,laptop
4.0,15.6,128.0,2300.0,3,388.9,laptop
1.0,10.1,8.0,550.0,18,129.0,tablet
1.0,10.1,8.0,510.0,11,72.85,tablet
1.0,4.5,8.0,146.125,41,42.8,smartphone
8.0,15.6,256.0,2200.0,10,459.0,laptop
4.85,2.4,131.61,1016.32,14,64.98,smartphone
4.0,6.1,64.0,168.2,12,502.0,smartphone
16.0,13.3,1000.0,1210.0,3,2179.0,laptop
1.0,5.0,8.0,149.25,23,79.99,smartphone
6.0,6.53,128.0,178.12,29,705.0,smartphone
4.0,6.0,32.0,169.0,9,309.0,smartphone
4.85,7.0,8.0,1016.32,7,44.6,tablet
4.85,7.0,8.0,1016.32,7,44.6,tablet
2.0,5.0,16.0,150.5,42,135.44,smartphone
2.0,10.1,16.0,506.0,10,159.98,tablet
1.0,7.0,8.0,310.0,6,78.0,tablet
1.0,5.0,8.0,149.25,22,98.0,smartphone
16.0,15.6,131.61,2500.0,26,1984.13,laptop
4.0,5.5,32.0,158.5,10,205.05,smartphone
2.0,5.5,16.0,150.75,43,129.0,smartphone
1.5,5.0,8.0,149.25,20,111.0,smartphone
8.0,15.6,131.61,2200.0,5,569.0,laptop
6.0,6.53,128.0,178.12,29,708.21,smartphone
3.0,5.0,32.0,158.0,44,109.0,smartphone
4.85,7.0,8.0,1016.32,7,44.6,tablet
1.0,7.0,8.0,265.0,29,109.9,tablet
1.0,4.5,8.0,146.125,14,59.99,smartphone
