12.0,15.6,131.61,2200.0,5,1
1.0,8.0,8.0,380.0,18,3
1.0,7.0,8.0,330.0,11,3
4.85,1.8,131.61,1016.32,15,2
8.0,15.6,131.61,2200.0,26,1
4.0,17.3,131.61,2800.0,10,1
4.0,15.6,256.0,2200.0,2,1
8.0,12.3,256.0,786.0,17,3
4.0,15.6,256.0,2000.0,2,1
3.0,5.0,32.0,168.0,9,2
1.0,10.1,8.0,610.0,11,3
8.0,14.0,131.61,1490.0,75,1
3.0,5.2,32.0,158.2,8,2
4.0,15.6,256.0,2300.0,5,1
3.0,5.5,32.0,158.5,24,2
1.0,10.1,8.0,557.0,11,3
1.0,7.0,8.0,330.0,11,3
8.0,14.0,256.0,1630.0,1,1
4.0,14.0,32.0,1440.0,1,1
8.0,14.0,256.0,1720.0,3,1
8.0,15.6,131.61,2200.0,2,1
4.0,5.5,64.0,163.0,35,2
4.0,15.6,256.0,2200.0,10,1
8.0,15.6,256.0,2130.0,3,1
4.85,9.82,131.61,1016.32,22,3
8.0,14.0,256.0,1130.0,10,1
4.0,5.5,64.0,167.0,68,2
4.0,12.3,128.0,766.0,17,3
3.0,5.5,32.0,158.5,20,2
3.0,8.0,32.0,264.0,20,3
16.0,15.6,131.61,2610.0,3,1
3.0,5.0,32.0,161.0,32,2
8.0,17.3,131.61,2700.0,26,1
4.85,7.0,8.0,264.0,6,3
2.0,5.0,16.0,150.5,2,2
1.0,8.0,8.0,380.0,18,3
8.0,15.6,131.61,1860.0,26,1
16.0,13.3,512.0,1580.0,0,3
8.0,5.99,128.0,175.96,25,2
4.0,5.8,128.0,175.2,20,2
6.0,6.0,128.0,176.0,29,2
4.85,1.8,131.61,1016.32,21,2
1.0,7.0,8.0,227.0,11,3
1.0,5.5,8.0,1016.32,50,2
8.0,14.0,512.0,1320.0,10,1
6.0,5.99,64.0,163.98,25,2
2.0,10.1,16.0,500.0,29,3
3.0,5.0,16.0,150.5,36,2
2.0,5.45,16.0,1016.32,29,2
4.0,5.7,128.0,175.8,12,2
4.0,5.84,64.0,167.68,29,2
3.0,5.7,32.0,158.7,55,2
1.0,8.0,16.0,348.0,22,3
2.0,5.0,16.0,155.5,29,2
8.0,15.6,256.0,1950.0,10,1
12.0,17.3,131.61,2950.0,2,1
4.85,7.0,8.0,516.0,7,3
4.0,15.6,131.61,2300.0,3,1
