1,4.0,15.6,128.0,1910.0,HP,368.0,laptop
3,3.0,5.5,32.0,158.5,Asus,179.0,smartphone
5,16.0,15.6,512.0,2000.0,Dell,2993.0,laptop
6,4.85,7.0,131.61,1016.32,Manta,49.9,tablet
8,8.0,17.3,256.0,3000.0,Acer,897.9,laptop
9,1.0,7.0,8.0,310.0,Crypto,78.0,tablet
10,4.85,7.0,8.0,516.0,Bitmore,43.9,tablet
11,4.0,5.2,64.0,163.4,ZTE,247.0,smartphone
12,16.0,12.0,1000.0,2800.0,Sony,434.5,console
13,8.0,14.0,256.0,1590.0,Lenovo,799.0,laptop
14,1.0,10.1,8.0,557.0,eStar,72.5,tablet
15,4.0,13.3,131.61,1490.0,HP,749.0,laptop
16,4.0,15.6,131.61,2100.0,Acer,378.0,laptop
17,4.0,14.0,64.0,1650.0,Asus,254.0,laptop
18,3.0,5.5,32.0,158.5,LG,167.2,smartphone
19,6.0,6.0,64.0,164.0,HTC,746.0,smartphone
21,2.0,5.0,16.0,150.5,MaxCom,149.98,smartphone
22,8.0,15.6,256.0,2650.0,Dell,1199.0,laptop
23,4.85,1.8,131.61,1016.32,Alcatel,17.15,smartphone
25,4.85,7.0,8.0,263.0,Bitmore,43.9,tablet
26,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
27,8.0,15.6,131.61,2140.0,Dell,559.0,laptop
28,8.0,15.6,256.0,2260.0,HP,1890.0,laptop
29,8.0,12.3,128.0,1100.0,Google,1249.0,laptop
30,16.0,15.6,512.0,2530.0,Dell,1394.04,laptop
32,1.0,5.0,8.0,146.25,LG,120.0,smartphone
33,4.0,11.69,1000.0,2900.0,Microsoft,260.0,console
34,4.0,13.3,256.0,1400.0,Dell,826.0,laptop
36,1.0,8.0,8.0,380.0,Fluo,88.9,tablet
37,3.0,5.5,256.0,196.0,Apple,748.59,smartphone
39,1.0,7.0,8.0,369.0,Lenovo,120.0,tablet
40,8.0,15.6,256.0,2000.0,Dell,2063.0,laptop
41,8.0,15.6,256.0,2140.0,Dell,689.0,laptop
42,8.0,12.5,256.0,1270.0,Dell,1368.0,tablet
43,2.0,9.7,32.0,478.0,Apple,425.03,tablet
44,4.0,13.3,256.0,1320.0,HP,849.0,laptop
45,4.0,6.01,64.0,165.02,ZTE,230.0,smartphone
46,4.0,11.3,1000.0,2100.0,Sony,360.0,console
47,1.0,10.1,8.0,533.0,Bitmore,85.0,tablet
48,2.0,5.2,16.0,155.6,Samsung,128.5,smartphone
49,4.85,7.0,8.0,516.0,Bitmore,43.9,tablet
50,3.0,5.5,32.0,158.5,Samsung,280.0,smartphone
51,1.5,8.0,16.0,393.0,Samsung,382.0,tablet
53,4.85,1.8,131.61,1016.32,Nokia,23.9,smartphone
54,1.0,8.0,16.0,348.0,MLS,109.0,tablet
56,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
57,4.85,2.0,131.61,1016.32,Blaupunkt,32.89,smartphone
59,8.0,12.5,512.0,1130.0,Lenovo,1848.0,laptop
60,4.85,1.8,131.61,1016.32,Blu,19.9,smartphone
62,1.0,7.0,8.0,330.0,MLS,83.0,tablet
64,6.0,5.5,128.0,174.0,HTC,730.0,smartphone
65,3.0,5.5,32.0,158.5,Xiaomi,249.0,smartphone
66,8.0,17.3,131.61,2700.0,MSI,979.0,laptop
67,8.0,17.3,131.61,3140.0,HP,1855.0,laptop
68,8.0,12.0,256.0,754.0,Samsung,1669.0,tablet
69,1.0,5.0,16.0,147.5,Denver,109.0,smartphone
71,4.85,1.77,131.61,1016.32,ZTE,23.93,smartphone
72,8.0,15.6,256.0,2100.0,Lenovo,559.0,laptop
73,1.0,8.0,8.0,339.0,Gigaset,102.9,tablet
74,4.0,17.3,131.61,3000.0,Acer,669.0,laptop
75,4.85,1.8,131.61,1016.32,Alcatel,18.0,smartphone
76,4.0,13.3,256.0,1400.0,Dell,739.0,laptop
77,4.0,10.5,256.0,477.0,Apple,1055.0,tablet
78,1.0,7.0,8.0,310.0,Crypto,78.0,tablet
79,3.0,8.0,32.0,310.0,Huawei,291.0,tablet
80,2.0,8.0,16.0,364.0,Samsung,222.0,tablet
82,4.85,1.77,131.61,1016.32,Olympia,29.0,smartphone
83,8.0,6.41,256.0,207.28,OnePlus,715.95,smartphone
84,8.0,15.6,256.0,2191.0,Dell,999.0,laptop
85,1.0,4.0,8.0,149.0,MLS,69.9,smartphone
86,1.0,8.0,8.0,380.0,Fluo,88.9,tablet
88,4.0,10.8,32.0,498.0,Huawei,449.0,tablet
89,1.0,5.5,16.0,155.75,Cubot,100.0,smartphone
90,1.0,8.0,16.0,348.0,MLS,109.0,tablet
91,8.0,15.6,256.0,2530.0,Dell,1093.0,laptop
92,3.0,5.2,32.0,157.2,Huawei,229.0,smartphone
94,1.0,8.0,8.0,330.0,eStar,74.89,tablet
96,4.85,7.0,8.0,264.0,Crypto,51.64,tablet
97,6.0,5.5,128.0,174.0,Nokia,534.95,smartphone
100,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
101,1.0,10.1,8.0,550.0,Fluo,129.0,tablet
102,2.0,10.1,16.0,535.0,TrekStor,113.0,tablet
103,4.0,15.6,131.61,2250.0,Dell,498.99,laptop
104,2.0,10.1,16.0,509.0,Lenovo,185.9,tablet
106,4.85,7.0,8.0,289.0,eStar,60.0,tablet
107,2.0,5.0,16.0,155.5,Huawei,143.84,smartphone
110,8.0,14.0,256.0,1400.0,Asus,842.0,laptop
111,4.0,5.6,32.0,161.6,Samsung,249.0,smartphone
112,4.85,1.8,131.61,1016.32,Alcatel,19.8,smartphone
113,3.0,4.7,32.0,157.7,CAT,462.59,smartphone
114,3.0,5.5,32.0,158.5,Meizu,175.0,smartphone
115,1.0,8.0,8.0,315.0,MLS,89.99,tablet
116,4.0,6.3,64.0,176.6,Samsung,480.0,smartphone
117,4.0,5.8,64.0,163.6,Samsung,481.0,smartphone
118,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
120,8.0,15.6,131.61,2100.0,HP,776.0,laptop
121,1.0,7.0,8.0,330.0,MLS,83.0,tablet
122,8.0,15.6,256.0,2560.0,Dell,929.0,laptop
123,6.0,5.5,64.0,163.0,Asus,325.0,smartphone
124,16.0,17.3,131.61,2950.0,Asus,1682.0,laptop
125,1.0,7.0,8.0,360.0,Bitmore,79.3,tablet
126,2.0,5.0,16.0,150.5,Lenovo,99.99,smartphone
127,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
128,2.0,11.3,1000.0,2100.0,Sony,353.0,console
129,3.0,6.1,64.0,164.2,Apple,839.8,smartphone
130,2.0,5.3,16.0,150.65,Ulefone,85.0,smartphone
131,8.0,15.6,131.61,3200.0,Lenovo,1426.0,laptop
133,4.85,1.77,131.61,1016.32,SPC,47.6,smartphone
135,4.0,6.0,64.0,164.0,Vivo,369.0,smartphone
136,8.0,12.5,256.0,1250.0,Razer,1059.0,laptop
137,2.0,10.1,16.0,525.0,Samsung,207.0,tablet
138,4.85,7.0,131.61,1016.32,Manta,49.9,tablet
139,3.0,10.1,32.0,460.0,Huawei,319.0,tablet
140,1.0,14.0,16.0,1112.0,Xoro,259.0,tablet
141,8.0,15.6,256.0,2500.0,Acer,888.0,laptop
142,16.0,15.6,131.61,2610.0,Dell,1749.0,laptop
144,4.85,7.0,131.61,1016.32,Manta,49.9,tablet
145,1.0,8.0,16.0,348.0,MLS,109.0,tablet
146,8.0,14.0,256.0,1930.0,Lenovo,1163.0,laptop
147,4.0,15.6,256.0,2200.0,Dell,699.0,laptop
148,8.0,13.3,512.0,1370.0,Apple,1726.5,laptop
150,4.0,14.0,128.0,1440.0,Lenovo,344.0,laptop
151,4.0,6.18,64.0,172.36,Cubot,164.15,smartphone
152,16.0,15.6,512.0,2100.0,HP,1125.0,laptop
153,1.0,2.8,8.0,148.7,MLS,90.93,smartphone
154,2.0,9.7,32.0,437.0,Apple,649.31,tablet
155,4.0,5.5,64.0,170.0,Sony,361.62,smartphone
156,1.5,8.0,16.0,393.0,Samsung,382.0,tablet
158,4.85,11.0,256.0,468.0,Apple,1328.9,tablet
159,6.0,5.99,128.0,175.96,Xiaomi,234.95,smartphone
160,2.0,5.0,16.0,155.5,Fluo,83.9,smartphone
161,16.0,17.3,131.61,4560.0,MSI,3059.0,laptop
162,4.0,15.6,128.0,2300.0,Dell,388.9,laptop
163,1.0,10.1,8.0,550.0,Fluo,129.0,tablet
164,1.0,10.1,8.0,510.0,eStar,72.85,tablet
165,1.0,4.5,8.0,146.125,Archos,42.8,smartphone
166,8.0,15.6,256.0,2200.0,Lenovo,459.0,laptop
167,4.85,2.4,131.61,1016.32,MaxCom,64.98,smartphone
168,4.0,6.1,64.0,168.2,LG,502.0,smartphone
169,16.0,13.3,1000.0,1210.0,Dell,2179.0,laptop
170,1.0,5.0,8.0,149.25,Blaupunkt,79.99,smartphone
171,6.0,6.53,128.0,178.12,Huawei,705.0,smartphone
172,4.0,6.0,32.0,169.0,Sony,309.0,smartphone
173,4.85,7.0,8.0,1016.32,Bitmore,44.6,tablet
174,4.85,7.0,8.0,1016.32,Bitmore,44.6,tablet
175,2.0,5.0,16.0,150.5,Doogee,135.44,smartphone
176,2.0,10.1,16.0,506.0,Lenovo,159.98,tablet
177,1.0,7.0,8.0,310.0,Crypto,78.0,tablet
178,1.0,5.0,8.0,149.25,MLS,98.0,smartphone
179,16.0,15.6,131.61,2500.0,MSI,1984.13,laptop
180,4.0,5.5,32.0,158.5,Lenovo,205.05,smartphone
183,2.0,5.5,16.0,150.75,Zopo,129.0,smartphone
184,1.5,5.0,8.0,149.25,Samsung,111.0,smartphone
185,8.0,15.6,131.61,2200.0,Acer,569.0,laptop
186,6.0,6.53,128.0,178.12,Huawei,708.21,smartphone
187,3.0,5.0,32.0,158.0,TP-LINK,109.0,smartphone
188,4.85,7.0,8.0,1016.32,Bitmore,44.6,tablet
189,1.0,7.0,8.0,265.0,Huawei,109.9,tablet
190,1.0,4.5,8.0,146.125,MaxCom,59.99,smartphone
192,16.0,17.3,131.61,4140.0,MSI,2049.0,laptop
193,4.0,5.5,32.0,157.8,Google,423.0,smartphone
195,1.0,5.0,16.0,150.5,Alcatel,92.59,smartphone
196,4.0,5.5,32.0,168.5,Sony,228.99,smartphone
197,2.0,11.6,32.0,1400.0,TrekStor,179.0,tablet
198,4.0,14.0,64.0,1440.0,Lenovo,254.0,laptop
199,1.0,10.1,8.0,557.0,eStar,72.5,tablet
200,4.0,5.84,64.0,167.68,Huawei,308.0,smartphone
201,32.0,17.3,131.61,2260.0,Asus,3830.0,laptop
202,3.0,6.0,32.0,162.0,Samsung,199.5,smartphone
203,1.5,5.0,16.0,155.5,LG,113.94,smartphone
205,4.0,15.6,131.61,2200.0,Dell,429.0,laptop
206,6.0,6.21,128.0,176.84,Xiaomi,325.28,smartphone
207,4.0,10.1,64.0,690.0,Lenovo,544.12,tablet
208,8.0,15.6,256.0,2050.0,Lenovo,699.0,laptop
209,4.0,13.3,128.0,1490.0,HP,699.0,laptop
211,8.0,14.0,256.0,1600.0,Acer,985.0,laptop
212,3.0,8.0,16.0,419.0,Samsung,389.12,tablet
213,4.0,17.3,256.0,3000.0,Acer,702.0,laptop
214,2.0,14.0,32.0,1650.0,Asus,197.0,laptop
215,4.85,1.77,131.61,1016.32,FlameFox,22.21,smartphone
216,1.0,7.0,8.0,330.0,MLS,83.0,tablet
217,1.0,10.1,8.0,610.0,eStar,68.99,tablet
218,6.0,5.7,128.0,185.3,Xiaomi,494.0,smartphone
219,8.0,14.0,256.0,1750.0,Lenovo,937.0,laptop
220,4.0,15.6,131.61,2200.0,Lenovo,429.0,laptop
221,16.0,13.5,512.0,1576.0,Microsoft,1999.0,tablet
222,8.0,15.6,256.0,1930.0,Lenovo,1156.0,laptop
223,1.0,8.0,8.0,380.0,Fluo,88.9,tablet
225,6.0,6.3,128.0,181.2,Huawei,392.16,smartphone
226,8.0,13.3,256.0,1210.0,Dell,1599.0,laptop
227,2.0,5.3,16.0,155.65,LG,130.7,smartphone
